Random,Date,Hour,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverter),
0.291710553,9/2/2016,6,0.00,10,14.73,13.79,88.92,6.40,29.43,30.23,47.03,,
0.020650018,6/6/2016,11,0.00,10,28.14,8.53,28.80,20.12,28.93,29.72,4418.25,,
0.788409525,4/5/2017,8,0.97,9.04,8.11,7.41,95.72,21.20,28.88,29.67,504.5,,
0.883656713,5/9/2016,16,1.00,7.36,18.66,18.04,91.68,14.08,29.08,29.87,299.25,,
0.268964975,1/4/2017,8,0.00,10,-9.36,-12.72,73.04,18.64,29.32,30.12,1221,,
0.0498757,10/19/2016,15,1.00,10,17.66,13.37,73.24,7.76,29.23,30.02,300.75,,
0.207464383,8/14/2017,7,0.14,10,20.39,17.47,83.24,0.96,29.12,29.91,726.5,,
0.514841402,3/31/2017,13,1.00,8.08,5.61,4.45,88.88,13.80,29.08,29.87,727,,
0.085843765,6/25/2016,13,0.41,10,31.81,22.39,56.24,8.59,29.27,30.06,4323.75,,
0.548566171,9/11/2016,17,0.00,10,23.34,12.76,50.80,3.88,29.34,30.14,1275.5,,
0.164358213,8/20/2016,8,1.00,3.72,23.83,23.33,95.79,11.07,28.92,29.7,213.75,,
0.225756591,1/8/2017,11,0.00,9.96,-11.32,-17.62,58.00,4.40,29.91,30.72,2863.75,,
0.637305897,10/15/2017,17,1.00,10,12.77,6.38,65.72,10.20,29.41,30.21,114.03,,
0.804122928,5/25/2017,13,1.00,9.96,17.54,13.86,77.88,14.60,28.9,29.68,2011.5,,
0.635641758,10/28/2017,12,1.00,10,4.78,0.50,73.76,13.68,29.14,29.93,854.25,,
0.92462228,9/19/2016,7,0.00,10,16.87,15.36,87.00,0.00,29.3,30.09,549.5,,
0.665004971,4/24/2016,6,0.53,1.75,9.87,9.80,99.58,6.28,29.26,30.06,155.6,,
0.390453869,4/23/2016,8,0.52,10,10.00,6.81,75.80,2.08,29.39,30.19,1006.75,,
0.781128233,2/22/2016,12,0.76,10,6.02,-0.14,63.52,3.80,29.36,30.16,2792,,
0.877400954,4/12/2016,9,0.00,10,6.79,-3.04,48.92,9.48,29.57,30.37,3572.75,,
0.437235383,5/31/2016,11,0.28,10,28.35,15.62,40.12,10.76,29.18,29.97,2175.25,,
0.416848598,10/28/2017,16,1.00,10,3.77,0.00,75.64,8.28,29.16,29.95,126.78,,
0.672966519,4/29/2016,16,0.35,9.81,14.67,8.99,38.85,6.89,15.96,30.06,1732.5,,
0.093341999,3/21/2017,10,0.70,10,11.24,3.40,61.96,10.76,29.4,30.2,2659.5,,
0.568641103,8/1/2016,17,0.00,10,27.22,20.60,63.00,8.00,29.19,30.01,1503.5,,
0.027092568,5/12/2017,6,0.00,10,11.54,9.08,82.88,7.04,29.16,29.95,0,,
0.508475267,9/12/2016,8,0.00,10,19.36,15.17,76.64,5.36,29.36,30.16,1874.25,,
0.361542958,11/17/2016,11,0.00,10,20.16,11.94,57.56,16.32,29.07,29.86,3041.75,,
0.633487765,4/11/2016,13,0.00,10,10.06,2.54,58.76,18.64,29.19,29.98,3986.75,,
0.398310123,9/20/2016,6,0.48,9.96,17.13,16.74,92.88,0.24,29.34,30.14,16.81,,
0.242932533,9/20/2016,11,0.64,10,30.15,19.92,52.24,5.68,29.34,30.14,3406,,
0.132677658,8/18/2016,12,0.82,10,28.93,23.06,70.08,8.32,29.27,30.06,3420.25,,
0.856032808,5/25/2016,16,0.00,10,28.71,16.96,49.84,21.40,29.13,29.92,1676.25,,
0.270551722,10/8/2017,6,0.93,0.56,11.10,10.85,96.97,1.26,29.06,29.86,0.69,,
0.824537785,4/7/2017,7,0.00,10,3.96,-1.03,70.64,14.20,29.32,30.11,687.75,,
0.382986829,5/24/2016,12,0.00,10,29.06,10.24,28.53,18.23,29.21,30,4022.5,,
0.917252435,2/16/2016,15,0.96,7.08,2.35,-1.02,81.64,7.32,29.05,29.84,2020.5,,
0.743151626,7/4/2016,8,1.00,2.13,19.33,19.18,97.74,5.63,29.11,29.91,419.25,,
0.355831801,1/28/2017,11,1.00,9.96,0.05,-2.54,82.56,15.56,29.04,29.83,1952.75,,
0.081505587,3/17/2016,7,0.00,10,6.74,1.30,65.23,9.52,29.14,29.93,306.65,,
0.481874688,10/2/2017,12,0.17,10,27.90,10.66,33.84,13.64,29.38,30.18,3858.25,,
0.342969,4/12/2017,15,0.00,10,19.41,3.59,35.16,5.68,29.52,30.32,3690.25,,
0.757420784,4/9/2016,15,0.00,10,4.11,-7.84,40.56,2.80,29.44,30.24,4236.5,,
0.673561079,3/1/2016,10,1.00,9.96,8.28,5.50,78.29,12.69,28.87,29.65,564.75,,
0.512208863,8/14/2017,13,0.65,10,28.22,17.33,49.72,6.92,29.07,29.86,3721.75,,
0.554291166,3/18/2016,8,0.00,10,5.20,-1.90,60.24,9.68,29.3,30.09,1406.5,,
0.887997792,8/3/2017,15,0.51,8.07,22.95,20.25,83.80,6.28,29.13,29.93,259.5,,
0.502775707,6/4/2017,11,0.42,10,30.28,18.14,46.20,6.44,29.09,29.88,3570.75,,
0.985381726,5/9/2016,6,1.00,6.96,12.69,11.58,91.08,13.04,29.13,29.92,54.3,,
