DATE,HourlyDewPointTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlySkyConditions,HourlyVisibility,HourlyDryBulbTemperature,HourlyWetBulbTemperature
2015-01-04T11:51:00,20,0.00,61,FEW:02 70 OVC:08 110,8.00,32,28
2015-01-04T12:51:00,21,0.00,67,OVC:08 100,8.00,31,27
2015-01-04T13:51:00,23,0.00,69,OVC:08 65,8.00,32,29
2015-01-04T14:51:00,23,0.00,66,BKN:07 65 OVC:08 80,9.00,33,29
2015-01-04T15:51:00,25,0.00,75,OVC:08 75,7.00,32,29
2015-01-04T16:51:00,26,0.00,82,OVC:08 65,5.00,31,29
2015-01-04T17:51:00,24,0.00,73,OVC:08 60,9.00,32,29
2015-01-04T18:51:00,24,0.00,76,OVC:08 70,8.00,31,28
2015-01-04T19:51:00,25,0.00,79,SCT:04 55 OVC:08 70,7.00,31,29
2015-01-04T20:51:00,24,0.00,82,OVC:08 65,6.00,29,27
2015-01-04T21:51:00,25,0.00,79,OVC:08 60,7.00,31,29
2015-01-04T22:51:00,25,0.00,82,OVC:08 60,6.00,30,28
2015-01-04T23:51:00,26,0.00,85,OVC:08 60,5.00,30,28
2015-01-04T23:59:00,,,,,,,
2015-01-05T00:51:00,25,0.00,85,OVC:08 60,6.00,29,27
2015-01-05T01:51:00,25,0.00,82,OVC:08 55,6.00,30,28
2015-01-05T02:51:00,24,0.00,76,OVC:08 55,7.00,31,28
2015-01-05T03:51:00,24,0.00,76,OVC:08 49,7.00,31,28
2015-01-05T04:51:00,25,0.00,79,OVC:08 50,8.00,31,29
2015-01-05T05:51:00,25,0.00,79,BKN:07 50 OVC:08 70,7.00,31,29
2015-01-05T06:51:00,25,0.00,75,OVC:08 60,8.00,32,29
2015-01-05T07:51:00,25,0.00,75,BKN:07 50 OVC:08 65,9.00,32,29
2015-01-05T08:51:00,25,0.00,75,OVC:08 65,8.00,32,29
2015-01-05T09:51:00,26,0.00,73,OVC:08 65,8.00,34,31
2015-01-05T10:51:00,27,0.00,75,OVC:08 60,8.00,34,31
2015-01-05T11:51:00,27,0.00,72,OVC:08 60,8.00,35,32
2015-01-05T12:51:00,27,0.00,72,OVC:08 60,9.00,35,32
2015-01-05T13:51:00,27,0.00,70,OVC:08 55,10.00,36,32
2015-01-05T14:51:00,27,0.00,70,OVC:08 50,10.00,36,32
2015-01-05T15:51:00,27,0.00,67,OVC:08 55,10.00,37,33
2015-01-05T16:51:00,27,T,67,OVC:08 55,10.00,37,33
2015-01-05T17:51:00,28,0.01,73,OVC:08 50,10.00,36,33
2015-01-05T18:51:00,30,0.00,85,OVC:08 50,8.00,34,32
2015-01-05T19:51:00,30,0.00,85,OVC:08 50,7.00,34,32
2015-01-05T20:51:00,29,0.00,78,OVC:08 49,10.00,35,33
2015-01-05T21:51:00,30,0.00,85,OVC:08 46,8.00,34,32
2015-01-05T22:51:00,30,0.00,85,OVC:08 46,8.00,34,32
2015-01-05T23:51:00,30,0.00,85,OVC:08 46,8.00,34,32
2015-01-05T23:59:00,,,,,,,
2015-01-06T00:51:00,31,0.00,85,OVC:08 43,8.00,35,33
2015-01-06T01:51:00,30,0.00,85,OVC:08 44,8.00,34,32
2015-01-06T02:51:00,30,0.00,85,OVC:08 46,8.00,34,32
2015-01-06T03:51:00,31,0.00,89,OVC:08 46,7.00,34,33
2015-01-06T04:51:00,30,0.00,89,BKN:07 44,7.00,33,32
2015-01-06T05:51:00,28,0.00,89,SCT:04 44,6.00,31,30
2015-01-06T06:51:00,25,0.00,96,CLR:00,5.00,26,26
2015-01-06T07:51:00,24,0.00,92,CLR:00,5.00,26,25
2015-01-06T08:51:00,28,0.00,92,CLR:00,4.00,30,29
2015-01-06T09:51:00,30,0.00,85,CLR:00,5.00,34,32
2015-01-06T10:51:00,30,0.00,85,CLR:00,5.00,34,32
2015-01-06T11:51:00,30,0.00,79,CLR:00,6.00,36,33
2015-01-06T12:51:00,30,0.00,73,CLR:00,7.00,38,35
2015-01-06T13:51:00,30,0.00,70,CLR:00,7.00,39,35
