Month, Day, HourofDay, Weekend ,Load
10,01,01,0,3.647609338337475
10,01,02,0,3.72261580088985
10,01,03,0,3.72378233870959
10,01,04,0,3.7566231776480143
10,01,05,0,3.75390890186264
10,01,06,0,3.700046201334751
10,01,07,0,3.7019608006672216
10,01,08,0,3.0736474874931003
10,01,09,0,2.3225917393720215
10,01,10,0,2.2403067741039293
10,01,11,0,3.453018813559373
10,01,12,0,-1.9537985551541663
10,01,13,0,-3.62121730202842
10,01,14,0,9.383926007224215
10,01,15,0,2.2717920283412116
10,01,16,0,7.12665129202563
10,01,17,0,1.7663927007501705
10,01,18,0,9.594517574408828
10,01,19,0,8.724406073909384
10,01,20,0,8.844533878855287
10,01,21,0,8.087597779938836
10,01,22,0,7.045502986940804
10,01,23,0,8.056500816893672
10,02,00,0,7.956337146429566
10,10,01,0,7.545069644246828
10,10,02,0,7.065368413448134
10,10,03,0,6.67482797331104
10,10,04,0,7.123301534185688
10,10,05,0,6.451250386755659
10,10,06,0,5.997359641268063
10,10,07,0,5.832024001111438
10,10,08,0,3.488039897165105
10,10,09,0,4.3960627479855345
10,10,10,0,19.495016170094583
10,10,11,0,24.099119169213434
10,10,12,0,-4.3663134759655655
10,10,13,0,-2.8673736482356156
10,10,14,0,1.787000380661305
10,10,15,0,2.344375621005845
10,10,16,0,0.22636082522922812
10,10,17,0,2.148715329441191
10,10,18,0,4.9030676604612085
10,10,19,0,7.804528916365625
10,10,20,0,8.116424267852109
10,10,21,0,6.565892390216651
10,10,22,0,5.4730591604115375
10,10,23,0,5.384795948275656
10,11,00,0,5.351232899638574
10,11,01,0,5.4548663868815765
10,11,02,0,5.309282055061214
10,11,03,0,5.227731644901344
10,11,04,0,5.23300607897662
10,11,05,0,5.425692046718614
10,11,06,0,5.4853134965228625
10,11,07,0,5.192872007786432
10,11,08,0,5.135579886016086
10,11,09,0,3.4925082435074173
10,11,10,0,9.382775629341516
10,11,11,0,7.338949924854044
10,11,12,0,1.3358153264795694
10,11,13,0,-2.602058242980261
10,11,14,0,-3.621048560711342
10,11,15,0,5.441852642400644
10,11,16,0,-0.09741285992214169
10,11,17,0,2.721444303973288
10,11,18,0,8.438622046149446
10,11,19,0,7.957149877709562
10,11,20,0,4.848389351877582
10,11,21,0,3.077178346807955
10,11,22,0,3.190149580205717
10,11,23,0,3.253049710709361
10,12,00,0,3.2560970781206606
10,12,01,0,3.479300706143965
10,12,02,0,3.341869838754483
10,12,03,0,3.2899558103975086
10,12,04,0,3.745815407737194
10,12,05,0,3.340328726716738
10,12,06,0,3.359916290322539
10,12,07,0,3.5710928110214546
10,12,08,0,6.1863718671851915
10,12,09,0,2.712314285315425
10,12,10,0,-2.2160144206724146
10,12,11,0,-6.817531493326033
10,12,12,0,-10.446060979137684
10,12,13,0,-8.55499896801102
10,13,12,1,-2.1106432343234336
10,13,13,1,0.1459272547930235
10,13,14,1,0.7301659238677701
10,13,15,1,5.064809152542347
10,13,16,1,-2.0067261544873576
10,13,17,1,-4.220827660461263
10,13,18,1,-0.7689723701028371
10,13,19,1,3.7011065684912925
10,13,20,1,4.441103892747954
10,13,21,1,5.5588551222900335
10,13,22,1,4.20047509308143
10,13,23,1,4.133051664351225
10,14,00,1,3.2307567723101878
10,14,01,1,3.067813214682958
10,14,02,1,3.4070807063404063
10,14,03,1,3.4594366286508524
10,14,04,1,3.3392032249097
10,14,05,1,3.464354525993853
10,15,01,0,3.767804518909839
10,15,02,0,3.7475419394276224
10,15,03,0,3.778994350974971
10,15,04,0,3.782033113705898
10,15,05,0,3.8934694464533823
10,15,06,0,4.129821339260886
10,15,07,0,3.9759875674174077
10,15,08,0,3.5616865712697856
10,15,09,0,1.5211258504724698
10,15,10,0,-1.978218869130317
10,15,11,0,6.144858757643186
10,15,12,0,0.8456810614059435
10,15,13,0,-5.364577914349316
10,15,14,0,-9.732954403337844
10,15,15,0,-11.794437015837477
10,15,16,0,-11.029229955543167
10,15,17,0,-16.043534398444113
10,15,18,0,-1.6453452792442282
10,15,19,0,2.0262702861906208
10,15,20,0,3.756715495971124
10,15,21,0,3.825244812447814
10,15,22,0,3.80490277021384
10,15,23,0,3.6891865804837414
10,16,00,0,3.6034311509591017
10,16,01,0,3.6653895690853733
10,16,02,0,3.8894832397888766
10,16,03,0,3.978210055601843
10,16,04,0,3.789850661846525
10,16,05,0,3.882731942746013
10,16,06,0,4.066562331851057
10,16,07,0,3.7631998526139943
10,16,08,0,3.783686210058387
10,16,09,0,4.149308840700605
10,16,10,0,-0.8870636315496084
10,16,11,0,-4.855873102585498
10,16,12,0,-7.629691069741592
10,16,13,0,-8.411128495550596
10,16,14,0,-6.451622311753236
10,16,15,0,-9.152036284760706
10,16,16,0,-4.745374695748748
10,16,17,0,-2.503025176536051
10,16,18,0,7.3235995693247435
10,16,19,0,14.516850491803316
10,16,20,0,9.820266093359427
10,16,21,0,-0.41314186718533047
10,16,22,0,12.919938203559244
10,16,23,0,17.265515468185882
10,17,00,0,10.438069588431588
10,17,01,0,8.037276623123844
10,17,02,0,8.084477276264561
10,17,03,0,8.120329202113197
10,17,04,0,9.02717679077516
10,17,05,0,9.501290762593934
10,17,06,0,10.46148247984442
10,17,07,0,9.5158530850473
10,17,08,0,7.971065981100597
10,17,09,0,-1.9278190300167561
10,17,10,0,6.320500189046274
10,17,11,0,-1.2287888820912123
10,17,12,0,19.819109329997435
10,17,13,0,16.602477043115414
10,17,14,0,-8.57944404834675
10,17,15,0,-7.433367660461126
10,17,16,0,-5.575726801000588
10,17,17,0,-4.560481758821864
10,17,18,0,3.3760180800221633
10,17,19,0,5.230846479577526
10,17,20,0,3.9301990108363634
10,17,21,0,2.866212281189217
10,17,22,0,3.526548638510672
10,17,23,0,3.313190330647497
10,18,00,0,3.6247588413448324
10,18,01,0,3.6626095665462888
10,18,02,0,3.5120128730202964
10,18,03,0,3.712014459572085
10,18,04,0,3.6642510030563904
10,18,05,0,3.5847196443455926
10,18,06,0,3.8075304056682433
10,18,07,0,3.6799720005556855
10,18,08,0,3.471924058937995
10,18,09,0,4.388025598777438
10,18,10,0,0.051120650180610114
10,18,11,0,-4.915269944429054
10,18,12,0,-7.743005398722066
10,18,13,0,-10.260067743817665
10,18,14,0,-10.618446230468576
10,18,15,0,-9.085521921579643
10,18,16,0,-7.6717466157265894
10,18,17,0,-5.16607613225898
10,18,18,0,-0.553845796054444
10,18,19,0,4.258518370864615
10,18,20,0,3.4637201500416754
10,18,21,0,2.915308795884254
10,18,22,0,3.272738103975517
10,18,23,0,3.465810925514214
10,19,00,0,3.4108438559910725
10,19,01,0,3.3691539171532017
10,19,02,0,3.6003063987763504
10,19,03,0,3.751258615897735
10,19,04,0,3.709436841812629
10,19,05,0,3.7852670975812592
10,19,06,0,3.7904650013900625
10,19,07,0,3.822692907170693
10,19,08,0,3.4118024756877348
10,19,09,0,1.4876928885793808
