Solar
2.58E+02
2.57E+02
2.57E+02
2.62E+02
2.62E+02
3.09E+02
6.22E+02
1.00E+03
1.29E+03
1.50E+03
1.63E+03
1.56E+03
1.59E+03
1.42E+03
1.00E+03
1.06E+03
6.88E+02
4.07E+02
2.44E+02
2.13E+02
2.22E+02
2.33E+02
2.38E+02
2.42E+02
2.47E+02
2.66E+02
2.54E+02
2.54E+02
2.66E+02
2.87E+02
6.06E+02
9.63E+02
1.20E+03
1.43E+03
1.64E+03
1.66E+03
1.59E+03
1.46E+03
1.23E+03
8.23E+02
4.95E+02
2.95E+02
2.12E+02
1.95E+02
2.05E+02
2.40E+02
2.16E+02
2.59E+02
